order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english,customer_zip_code_prefix,seller_zip_code_prefix,seller_geolocation_lat,seller_geolocation_lng,customer_geolocation_lat,customer_geolocation_lng,order_delivered_customer_date_delay
0068fb0e223115e911d362627e8b8800,1,e53e557d5a159f5aa2c5e995dfdf244b,88460e8ebdecbfecb5f9601833981930,2018-07-31 02:50:11,77.9,13.89,f0bc088c671f31458f73cc1a6a347842,delivered,2018-07-18 10:46:09,2018-07-19 02:50:11,2018-07-19 12:50:00,2018-07-25 21:04:16,180.0,17.0,10.0,13.0,computers_accessories,3150,87030,-23.413770021773328,-51.92706989550015,-23.585870841278773,-46.5879226741545,7.429247685185185
00c2335723b9b74668062e946dc66621,1,b944aabf1fc45c01599ee96c7f4d533e,128639473a139ac0f3e5f5ade55873a5,2018-01-09 04:28:51,18.9,12.48,4930dfe106be258618f6907e8ce8795d,delivered,2017-12-31 01:31:16,2018-01-03 04:28:51,2018-01-03 18:05:49,2018-01-09 20:19:21,150.0,22.0,12.0,14.0,electronics,5269,87050,-23.43113060537281,-51.9182353193356,-23.43350078364711,-46.78917946328692,9.783391203703705
00c47fefb9a49baec12ab3654d7f548e,1,f196248e8b5d060cca414a664ea9a76f,91f0eec23d4a61d7d7caeefa3f0ad1ca,2017-12-13 00:18:33,199.0,67.69,411373e81bbd24b0356ca1274e9c03fe,delivered,2017-12-06 00:08:49,2017-12-06 00:18:33,2017-12-06 22:28:59,2018-01-16 21:05:08,1900.0,90.0,14.0,18.0,auto,68908,88704,-28.47592154374265,-49.01172864670755,0.0557087558761802,-51.06155039105696,41.87244212962963
024554aeb0da84476f1c31a711e0990c,1,5edf955f0c8417e3fea7288360c2e22d,4200ddf1967c5e41e48db62bc6d4b5ac,2018-04-24 14:30:52,17.9,17.06,ed5ec5a2659505eb7eb931b0ca57a870,delivered,2018-04-18 14:22:18,2018-04-18 14:35:14,2018-04-19 18:58:27,2018-05-04 17:11:41,150.0,16.0,11.0,11.0,bed_bath_table,78060,9710,-23.710466484131672,-46.548939650481294,-15.60615007201604,-56.06975613360841,16.117627314814815
024554aeb0da84476f1c31a711e0990c,2,188c9cb0aff9e485e3f84752731c633a,4200ddf1967c5e41e48db62bc6d4b5ac,2018-04-24 14:30:52,17.9,17.06,ed5ec5a2659505eb7eb931b0ca57a870,delivered,2018-04-18 14:22:18,2018-04-18 14:35:14,2018-04-19 18:58:27,2018-05-04 17:11:41,150.0,16.0,11.0,11.0,bed_bath_table,78060,9710,-23.710466484131672,-46.548939650481294,-15.60615007201604,-56.06975613360841,16.117627314814815
0394e320572c0048e41267320a28270e,1,7c2d0df8e5fbfa71d54a400b33a8502e,7e1fb0a3ebfb01ffb3a7dae98bf3238d,2017-05-10 06:35:24,116.0,25.3,28135fbf5e6fc1254fd50aafee7b02b0,delivered,2017-05-03 11:58:43,2017-05-04 06:35:24,2017-05-04 15:58:09,2017-05-24 20:51:56,138.0,12.0,9.0,18.0,health_beauty,68927,14403,-20.55362362743644,-47.38735911880556,-0.0445922803661506,-51.16346318528125,21.370289351851852
065102a3bb506a1010c90b7a4f2700b2,1,05a9dadb8402b6b7ae3dd28f7da187b5,522620dcb18a6b31cd7bdf73665113a9,2018-03-13 11:55:38,149.0,15.55,b2a02ae01aec9cbcc071c887b1ca41ab,delivered,2018-03-02 11:34:37,2018-03-02 11:55:38,2018-03-02 22:54:27,2018-03-03 14:23:17,2950.0,20.0,20.0,20.0,computers_accessories,85801,85801,-24.95918428429227,-53.462644000056976,-24.95918428429227,-53.462644000056976,1.1171296296296296
07bebda8aee4b9a600d9c2c1a73f93a5,1,2196663031bcde078cede855ac0b5739,c9c7905cffc4ef9ff9f113554423e671,2017-11-01 17:14:16,65.0,15.89,bc3944c929f6bef6cfff35bf6473781d,delivered,2017-10-26 16:52:36,2017-10-26 17:32:23,2017-10-27 16:04:05,2017-11-06 19:46:41,491.0,19.0,12.0,16.0,sports_leisure,78030,6871,-23.72405548820451,-46.85665731168746,-15.606545965805902,-56.1216029851937,11.120891203703705
0a308be0b454b3664e06318c9bd6a5be,1,68d9c8a95d2b7cb57efe9e1e929bdd6a,c458e2045a8aa8964f8879af03fdcce6,2017-03-12 22:25:09,39.99,24.84,68914b86fecc505772fc79427f0cbb29,delivered,2017-02-28 22:12:55,2017-02-28 22:25:09,2017-03-02 10:35:13,2017-03-16 13:42:06,100.0,16.0,2.0,11.0,fixed_telephony,68926,9572,-23.642441270973308,-46.56083126678535,-0.0551374198069465,-51.15910937294821,15.645266203703704
0a308be0b454b3664e06318c9bd6a5be,2,68d9c8a95d2b7cb57efe9e1e929bdd6a,c458e2045a8aa8964f8879af03fdcce6,2017-03-12 22:25:09,39.99,24.84,68914b86fecc505772fc79427f0cbb29,delivered,2017-02-28 22:12:55,2017-02-28 22:25:09,2017-03-02 10:35:13,2017-03-16 13:42:06,100.0,16.0,2.0,11.0,fixed_telephony,68926,9572,-23.642441270973308,-46.56083126678535,-0.0551374198069465,-51.15910937294821,15.645266203703704
